लोग: लोग 
lite: lite
Marshmallow: Marshmallow
मोबाईल: मोबाईल
LeEco: LeEco
'स्क्रीन': 'स्क्रीन'
Springer: Springer
EUI: EUI
ऑपरेटम: ऑपरेटम
LeMall: LeMall
लिका: लिका 
मोबाइलों: मोबाइल 
atop: atop
साहित्यकार: साहित्यकार
मुंशी: मुंशी 
प्रेमचंद: प्रेमचंद
अर्पित: अर्पित
परिचय: परिचय
मोहताज: मोहताज
विख्यात: विख्यात
कथा: कथा 
सम्राट: सम्राट
कहलाए: कहल 
कहानियों: कहानी 
उपन्यासों: उपन्यास 
आमजन: आमजन
पीड़ा: पीड़ा 
जरीए: जरीए
पिरोया: पिरोया 
रचना: रचना 
कालजयी: कालजयी 
रचनाएं: रच रचन 
‘कफन’: ‘कफन’
‘गबन’: ‘गबन’
‘गोदान’: ‘गोदान’
‘ईदगाह‘: ‘ईदगाह‘
‘नमक: ‘नमक
दरोगा‘: दरोगा‘
दिलाती: दिलाती 
प्रेमचन्द: प्रेमचन्द
बनारस: बनारस
लमही: लमही 
दादाजी: दादाजी 
सहाय: सहाय
सराय: सराय
पटवारी: पटवारी 
अजायब: अजायब
डाकखाने: डाकखाना 
क्लर्क: क्लर्क
आनंदी: आनंदी 
देवी: देवी 
‘बड़े: ‘बड़ा 
बेटी‘: बेटी‘
‘आनंदी‘: ‘आनंदी‘
पात्र: पात्र
सन्तान: सन्तान
बेटियां: बेटी 
मर: मर
सुग्गी: सुग्गी 
जीवित: जीवित
धनपत: धनपत
नवाब: नवाब
लालगंज: लालगंज
मौलवी: मौलवी 
फारसी: फारसी 
देहांत: देहांत
विवाह: विवाह 
सूने: सूना 
बरस: बरस
फला: फला 
चुनार: चुनार
शिक्षक: शिक्षक
बीए: बीए
विधवा: विधवा 
शिवरानी: शिवरानी 
जीवनी: जीवनी 
‘रामलीला’: ‘रामलीला’
बर्फखाना: बर्फखाना 
बर्डघाट: बर्डघाट
रामलीला: रामलीला 
पात्रों: पात्र 
दयनीय: दयनीय
‘बूढ़ी: ‘बूढ़ी 
काकी’: काकी’
मोहल्ले: मोहल्ला 
बर्तन: बर्तन
मांजने: मांजना 
बूढी: बूढी 
कहनी: कहनी 
गोदान: गोदान
हुकूमत: हुकूमत
तस्वीकर: तस्वी 
खींचती: खींचती 
गोरखपुर: गोरखपुर
इर्दगिर्द: इर्दगिर्द
मंत्र: मंत्र
नशा: नशा 
शतरंज: शतरंज
पूस: पूस
आत्माराम: आत्माराम
बूढ़ी: बूढ़ी 
काकी: काकी 
भाईसाहब: भाईसाहब
कफन: कफन
नमक: नमक
दरोगा: दरोगा 
पंच: पंच
प्रेम: प्रेम
पूर्णिमा: पूर्णिमा 
उपन्यास: उपन्यास
गबन: गबन
हुस्न: हुस्न
सदन: सदन 
कर्मभूमि: कर्मभूम 
कायाकल्प: कायाकल्प
मनोरमा: मनोरमा 
निर्मला: निर्मला 
प्रतिज्ञा: प्रतिज्ञा 
प्रेमाश्रम: प्रेमाश्रम
रंगभूमि: रंगभूम 
प्रेमा: प्रेमा 
अपूर्ण: अपूर्ण
प्रेमचंद्र: प्रेमचंद्र
चौदह: चौदह
रचे: रचा 
सुदृढ़: सुदृढ़
यथार्थवादी: यथार्थवादी 
चित्रण: चित्रण
सर्वप्रथम: सर्वप्रथम
उपन्यासकार: उपन्यासकार
शरतचंद्र: शरतचंद्र
सन्: सन्
"प्रगतिशील: "प्रगतिशील
संघ": संघ" 
कष्टों: कष्ट 
देहान्त: देहान्त
सत्यजित: सत्यजित
बनाईं: बन 
'शतरंज: 'शतरंज
खिलाड़ी': खिलाड़ी'
'सद्गति': 'सद्गति'
सुब्रमण्यम: सुब्रमण्यम
'सेवासदन': 'सेवासदन'
सुब्बालक्ष्मी: सुब्बालक्ष्मी 
निभाई: निभ 
मृणाल: मृणाल
'कफन': 'कफन'
'ओका: 'ओका 
ऊरी: ऊरी 
कथा': कथा'
'गोदान': 'गोदान'
'गबन': 'गबन'
धारावाहिक: धारावाहिक
'निर्मला': 'निर्मला'
दौरे: दौरे 
"आम: "आम
रुकना: रुकना 
जोनाथन: जोनाथन
डिजायरस्की: डिजायरस्की 
डॉटा: डॉटा 
इनक्रिप्शन: इनक्रिप्शन
आईक्लॉउड: आईक्लॉउड
from: from
ASIC: ASIC
Aurvana: Aurvana
ANC: ANC
आवाजों: आवाज 
हेडबैंड: हेडबैंड
बल्ब: बल्ब
बल्बों: बल्ब 
शोभा: शोभा 
तालों: ताल 
चाभियां: चाभी 
पड़ेंगी: पड़ेंगी 
कनेक्शनों: कनेक्शन 
आरकॉम: आरकॉम
जिन्होने: जिन्होना 
हार्डवेडर: हार्डवेडर
बर्ल्ड: बर्ल्ड
बर्खास्त: बर्खास्त
आमद: आमद
"एलटीई: "एलटीई
कारक: कारक
अप्पो: अप्प 
लइको: लइक 
कोडांतरण: कोडांतरण
पारिस्थितिक: पारिस्थितिक
तंत्र: तंत्र
संवर्धन: संवर्धन
हाईस्पीड: हाईस्पीड
‘हर: ‘हर
भुवनेश्वर: भुवनेश्वर 
रांची: रांची 
रायपुर: रायपुर
एर्नाकुलम: एर्नाकुलम
उज्जैन: उज्जैन
राणा: राणा 
एकसपेंड: एकसपेंड
लैश: लैश
अपराह्न्: अपराह्न्
निनाटिक: निनाटिक
फोर्ब्स: फोर्ब्स
एंडरोइड: एंडरोइड
इसेयूजर्स: इसेयूजर्स
वर्जे: वर्जा 
तार्किक: तार्किक
विडोंज: विडोंज
'ड्रैग: 'ड्रैग
ड्रॉप': ड्रॉप'
सहकर्मियों: सहकर्मी 
सेड: सेड
चटका: चटका 
चुकें: चुक 
फेलबुक: फेलबुक
मैसैंजर: मैसैंजर
बूट्स: बूट्स
माध्य: माध्य
दिवानों: दिवान 
दिवानगी: दिवानगी 
माइक्रोब्लॉगिंग: माइक्रोब्लॉगिंग
'माशेबल: 'माशेबल
मेनू: मेन 
हैमबर्गर: हैमबर्गर
ट्वीटबोट: ट्वीटबोट
एंजल: एंजल
दाताओं: दा दात 
आईटीआर: आईटीआर
‘हैलो: ‘हैल 
टैक्स’: टैक्स’
धारणा: धारणा 
हैलोटैक्स: हैलोटैक्स
हिमांशु: हिमांश 
कदमों: कदम 
स्कलकैंडी: स्कलकैंडी 
ब्ल्यूट्रथ: ब्ल्यूट्रथ
बेतार: बेतार
'इंक्ड: 'इंक्ड
वायरलेस': वायरलेस'
ईयरबड्स: ईयरबड्स
ब्रैंडआइज: ब्रैंडआइज
डिस्ट्रीब्यूटर्स: डिस्ट्रीब्यूटर्स
अम्लान: अम्लान
उतरे: उतरा 
इंक्ड: इंक्ड
ब्रैंडआईज: ब्रैंडआईज
स्किलकैंडी: स्किलकैंडी 
Suntek: Suntek
स्मार्टफोनों: स्मार्टफोन 
Shopclues: Shopclues
सनटेक: सनटेक
पल्लवी: पल्लवी 
'सुपर: 'सुपर
टीसीएस: टीसीएस
इंफोसिस: इंफोसिस
फार्मा: फार्मा 
ल्यूपिन: ल्यूपिन
हिंदुस्तान: हिंदुस्तान
यूनिलीवर: यूनिलीवर
फोर्ज: फोर्ज
एलेंबिक: एलेंबिक
जिलेट: जिलेट
कंसाई: कंस 
नेरोलेक: नेरोलेक
एलआईसी: एलआईसी 
कोटक: कोटक
एमआरएफ: एमआरएफ
ग्लैक्सो: ग्लैक्स 
स्मिथक्लाइन: स्मिथक्लाइन
फिजर: फिजर
रेड्डी: रेड्डी 
ग्लेनमार्क: ग्लेनमार्क
फार्मास्युटिकल्स: फार्मास्युटिकल्स
budget: budget
phablet: phablet
गीगाहर्ट्ज़: गीगाहर्ट्ज़
स्नपड्रैगन: स्नपड्रैगन
laptop: laptop
Notebook: Notebook
Atom: Atom
अल्मूनियम: अल्मूनियम
हुंडई: हुंडई
वान: वान
समयावधि: समयावध 
मार्जिन: मार्जिन
अवार्डस': अवार्डस'
'लाभ: 'लाभ
कार्यरत': कार्यरत'
मान्यता: मान्यता 
सशक्तीकरण: सशक्तीकरण
परिवर्तनशील: परिवर्तनशील
अवार्डस: अवार्डस
रेग्युलेटरी: रेग्युलेटरी 
सीएसआरए: सीएसआरए
बालाजी: बालाजी 
कृषि: कृषि 
प्रतिभाओं: प्रतिभ 
प्रेरक: प्रेरक
दिखाएंगी: दिखाएंगी 
'लीडिंग: 'लीडिंग
एनपीओ': एनपीओ'
प्रॉफिट': प्रॉफिट'
स्वास्थ: स्वास्थ
संवेदनशली: संवेदनशली 
गिराए: गिर 
खरोंच: खरोंच
समतल: समतल
ऊबड़: ऊबड़
खाबड़: खाबड़
नर्म: नर्म
सतहों: सतह 
गिराकर: गिर गिरा 
'कवर: 'कवर
ग्लास': ग्लास'
मर्सिडीज: मर्सिडीज
Mercedes: Mercedes
AMG: AMG
SLC: SLC
सिक्टयोरिटी: सिक्टयोरिटी 
इन्क्रिप्ट: इन्क्रिप्ट
Flat: Flat
Extension: Extension
Add: Add
लाउनलोडिंग: लाउनलोडिंग
extension: extension
up: up
बाईं: ब 
chrome: chrome
मर्सडीज: मर्सडीज
एसएलके: एसएलका 
हेडलाइट्स: हेडलाइट्स
नुकीला: नुकीला 
बोनट: बोनट
ग्रिल्स: ग्रिल्स
एसलसी: एसलसी 
केबिन: केबिन
cc: cc
rpm: rpm
Overdrive: Overdrive
होगे: होगा 
इकोनॉमी: इकोनॉमी 
स्पोर्ट्स+: स्पोर्ट्स+
एल्यूमीनियम: एल्यूमीनियम
पैडल: पैडल
Ride: Ride
Control: Control
turbocharged: turbocharged
एसएलसी: एसएलसी 
litre: litre
धाविका: धाविका 
पीटी: पीटी 
उषा: उषा 
चुस्ती: चुस्ती 
फिटसो: फिटस 
"मैंने: "मैंना 
कसरत: कसरत 
सौरव: सौरव
"फिटसो: "फिटस 
मधुमेह: मधुमेह
मेतू: मेत 
ब्यूटीप्लस: ब्यूटीप्लस
चिकना: चिकना 
संपादित: संपादित
इग्नाइट: इग्नाइट
इनफॉर्मेटिक्स: इनफॉर्मेटिक्स
नवाचारों: नवाचार 
डेफेनीशन: डेफेनीशन
टेराबाइट: टेराबाइट
कनेक्टिवीटी: कनेक्टिवीटी 
इथरनेट: इथरनेट
इंक्वायरर: इंक्वायरर
नामकरण: नामकरण
अर्हता: अर्हता 
स्प्लीट: स्प्लीट
डालर: डालर
लुमिया: लुमिया 
वीसीआर: वीसीआर
निकलेगी: निकलेगी 
फुनाई: फुन 
सान्यो: सान्य 
मेगनावोक्स: मेगनावोक्स
सीडी: सीडी 
डीवीडी: डीवीडी 
सीवीसी: सीवीसी 
कैसेट्स: कैसेट्स
दीपावली: दीपावली 
नवरात्रों: नवरात्र 
एमएलबी: एमएलबी 
TDI: TDI
एसक्यू: एसक्य 
हॉण्डा: हॉण्डा 
एकॉर्ड: एकॉर्ड
रनिंग: रनिंग
लैंम्पस: लैंम्पस
एअरबैग: एअरबैग
टक्सन: टक्सन
Mahindra: Mahindra
XUV: XUV
एलन्ट्रा: एलन्ट्रा 
जगुआर: जगुआर
एक्सजेएल: एक्सजेएल
हेडलैंम्पस: हेडलैंम्पस
टेल: टेल
जुगआर: जुगआर
PS/: PS/
इवोक्यू: इवोक्य 
कनवर्टिबिल: कनवर्टिबिल
स्टाईलिस: स्टाईलिस
दौड़ाते: दौड़ाता 
वॉल्क्सवॉगेन: वॉल्क्सवॉगेन
खाकर: ख खा 
बाम: बाम
मसाज: मसाज
थेरेपिस्ट: थेरेपिस्ट
मांसपेशियों: मांसपेशी 
जख्म: जख्म
मैनिपुलेटिव: मैनिपुलेटिव
एम्मा: एम्मा 
थेरेपी: थेरेपी 
क्लिनिकों: क्लिनिक 
एबीसीडी: एबीसीडी 
टेलीकम्युनिकेशन: टेलीकम्युनिकेशन
वेराइजन: वेराइजन
मुहर: मुहर
एओएल: एओएल
पक्का: पक्का 
सचिन: सचिन 
तेंदुलकर: तेंदुलकर 
'सचिन: 'सचिन
सागा': सागा'
जेटसिंथेसिस: जेटसिंथेसिस
नवानी: नवानी 
प्लेजोन: प्लेजोन
टेक्नॉलाजी: टेक्नॉलाजी 
महान: महान
उठाएंगे: उठाएंगा 
तोड़े: तोड़ा 
जेटा: जेटा 
‘ट्रस्ट’: ‘ट्रस्ट’
फोनधारक: फोनधारक
'कुछ: 'कुछ
संपर्कों': संपर्कों'
कोर्इ: कोर्इ
मुफीद: मुफीद
भागना: भागना 
करवाकर: करव करवा 
वॉलेटका: वॉलेटका 
हार्इ: हार्इ
करवाती: करवाती 
परिपाटी: परिपाटी 
मांगता: मांगता 
बेझिझक: बेझिझक
'आर्काइव: 'आर्काइव
कनवर्सेशन: कनवर्सेशन
सोलो: सोल 
माईक्रोवेव: माईक्रोवेव
ओवंस: ओवंस
माइक्रोवेव: माइक्रोवेव
हॉस्टल: हॉस्टल
ओवन: ओवन
कुकिंग: कुकिंग
अपलायंस: अपलायंस
मिनोचा: मिनोचा 
"सोलो: "सोल 
कामकाजी: कामकाजी 
स्टोव: स्टोव
स्कोर्पिया: स्कोर्पिया 
नवी: नवी 
'बुद्धिमता: 'बुद्धिमता 
हाइब्रिड': हाइब्रिड'
शाह: शाह 
स्कोर्पियो: स्कोर्पिय 
रगं: रगं
सिमकार्डों: सिमकार्ड 
मोमेरो: मोमेर 
डिल्प्ले: डिल्प्ला 
सिर्मेक: सिर्मेक
डेंसटी: डेंसटी 
axis: axis
Quick: Quick
सैकेट: सैकेट
a/b/g/ac: a/b/g/ac
nd: nd
carnival: carnival
श्‍याओमी: श्‍याओमी 
मैक्‍स: मैक्‍स
ब्‍लूटूथ: ब्‍लूटूथ
जु: ज 
समकालीन: समकालीन
कार्यक्षमताओं: कार्यक्षम कार्यक्षमत 
परफार्मेस: परफार्मेस
मेट्रिक्स: मेट्रिक्स
रिवर्सिबल: रिवर्सिबल
ड्युअल: ड्युअल
मार्समेलो: मार्समेल 
निअर: निअर
होइए: होइए
निराशा: निराशा 
स्किमिंग: स्किमिंग
'रिपब्लिक: 'रिपब्लिक
गेमर्स': गेमर्स'
आरओजी: आरओजी 
हाइड्रो: हाइड्र 
माड्यूल: माड्यूल
ऑर: ऑर
एसकेयू: एसकेय 
स्काईलेक: स्काईलेक
एनवीआईडीआईए: एनवीआईडीआईए
जीईफोर्स: जीईफोर्स
अटैची: अटैची 
ओवरलॉकिंग: ओवरलॉकिंग
घटक: घटक
ठंडी: ठंडी 
क्षमताएं: क्षम क्षमत 
बढ़ाती: बढ़ाती 
डीडीआर: डीडीआर
ओवरलॉक: ओवरलॉक
वर्षीय: वर्षीय
अदवे: अदवा 
रमेश: रमेश 
इम्पैक्ट: इम्पैक्ट
अवॉर्ड': अवॉर्ड'
पुरस्कृत: पुरस्कृत
मछुआरों: मछुआर 
मछली: मछली 
नवाजा: नवाजा 
छात्रवृत्ति: छात्रवृत्त 
"मेरे: "मेरा 
जीतना: जीतना 
'फिशरमैन: 'फिशरमैन
लाइफलाइन: लाइफलाइन
एफईएलटी: एफईएलटी 
हेल्ट: हेल्ट
एसपीएस: एसपीएस
रामेश्वरम: रामेश्वरम
पढ़ते: पढ़ता 
श्रीलंकाई: श्रीलंक 
समुद्री: समुद्री 
एचएमएसआई: एचएमएसआई
स्कूटरों: स्कूटर 
मोटोकार्प: मोटोकार्प
अरसे: अरसा 
''मोटरसाइकिलों: ''मोटरसाइकिल 
पीआरओ: पीआरओ
जैव: जैव
रोनाल्ड: रोनाल्ड
फोजर: फोजर
''हमारी: ''हमारी 
मुलाकात: मुलाकात
गलतफहमी: गलतफहमी 
'माय: 'माय
पत्रकारों: पत्रकारों 
ट्रकों: ट्रक 
वायदा: वायदा 
सुझाए: सुझ 
गुपचुप: गुपचुप
'फ्रेंड: 'फ्रेंड
सजेशन': सजेशन'
डीएक्टिव: डीएक्टिव
सुझाता: सुझाता 
औरों: और 
कटिगिरी: कटिगिरी 
जीएसएमए: जीएसएमए
मात्स: मात्स
ग्रैनरिड: ग्रैनरिड
दूरगामी: दूरगामी 
टेलीनॉर: टेलीनॉर
क्रियान्वयन: क्रियान्वयन
LXI: LXI
LDI: LDI
डीएलएक्स: डीएलएक्स
टिल्ट: टिल्ट
एडजस्टेबल: एडजस्टेबल
ईबीडी: ईबीडी 
DDiS: DDiS
डीज़ल: डीज़ल
टेलीक़म: टेलीक़म
प्लानों: प्लान 
एसेसमेंट: एसेसमेंट
केपलर: केपलर
अवलोकन: अवलोकन
परिक्रमा: परिक्रमा 
ड्वार्फ: ड्वार्फ
तारा: तारा 
एक्वेरियस: एक्वेरियस
तारामंडल: तारामंडल
'एस्ट्रोफिजिकल: 'एस्ट्रोफिजिकल
सप्लीमेंट: सप्लीमेंट
Screen: Screen
आरओएम: आरओएम
एमएमच: एमएमच
एन्ड्राएड: एन्ड्राएड
मेगारपिक्सल: मेगारपिक्सल
रंगो: रंग 
Zuk: Zuk
आशंकाएं: आशंक 
ऋषभ: ऋषभ
खैतान: खैतान
संपादक: संपादक
Steve: Steve
Hemmerstoffer: Hemmerstoffer
फायरपावर: फायरपावर
जनकारी: जनकारी 
आईफोनों: आईफोन 
NowhereElseFr: NowhereElseFr
hexa: hexa
बृहस्पति: बृहस्पत 
दीदार: दीदार
हैं': हैं' 
जुटाने: जुटाना 
प्लैनेटरी: प्लैनेटरी 
जिम: जिम
जूनो: जून 
असाधारण: असाधारण
आश्चर्यजनक: आश्चर्यजनक
ओएसआईआरआईएस: ओएसआईआरआईएस
आरईएक्स: आरईएक्स
ओरिजिन: ओरिजिन
स्पेक्ट्रल: स्पेक्ट्रल
इंटरप्रेटेशनस: इंटरप्रेटेशनस
रिसॉर्स: रिसॉर्स
रीगोलिथ: रीगोलिथ
क्षुद्र: क्षुद्र
बेनू: बेन 
चंद्रमाओं: चंद्रम 
एनजीटी: एनजीटी 
ट्रिब्युनल: ट्रिब्युनल
आरटीओ: आरटीओ
न्यायमूर्ति: न्यायमूर्त 
अध्यक्षता: अध्यक्षता 
‘‘लेकिन: ‘‘लेकिन
चालान: चालान
हलफनामा: हलफनामा 
बताएं: बत ब 
सचिवों: सचिव 
'टुवर्डस: 'टुवर्डस
मोर: मोर
इक्वल: इक्वल
रेवोल्यूशन': रेवोल्यूशन'
गरीबी: गरीबी 
असमानता: असमानता 
रेखांकित: रेखांकित
"स्मार्टफोन: "स्मार्टफोन
खेती: खेती 
पूर्वानुमान: पूर्वानुमान
बोएं: बोएं
कटाई: कट 
'कीमतों: 'कीमत 
पारदर्शिता': पारदर्शिता'
"जानकारी: "जानकारी 
गरीब: गरीब
सुलभता: सुलभता 
'शटल': 'शटल'
'कैशलेस': 'कैशलेस'
शटल: शटल
रूटों: रूट 
टंडन: टंडन
''शटल: ''शटल
इकाइयां: इकाईं 
अत्यंत: अत्यंत
झांकने: झांकना 
खगोलविदों: खगोलविद 
बढ़ाएगी: बढ़ाएगी 
दूरदर्शी: दूरदर्शी 
असेंबली: असेंबली 
पुर्जों: पुर्ज 
प्रभावों: प्रभाव 
दूरबीनों: दूरबीन 
आयतन: आयतन
द्रव्यमान: द्रव्यमान
प्रोपल्शन: प्रोपल्शन
निकोलस: निकोलस
सहयोगियों: सहयोगी 
आरएएमएसटी: आरएएमएसटी 
अंतरिक्षयात्रियों: अंतरिक्षयात्री 
ट्रैवलपोर्ट: ट्रैवलपोर्ट
विश्वभर: विश्वभर
ट्रैवेल: ट्रैवेल
उत्तराखंड: उत्तराखंड
होमस्टे: होमस्टा 
मानकीकरण: मानकीकरण
रूकने: रूकना 
नाश्ते: नाश्ता 
कॉरपोरेटों: कॉरपोरेट 
सीआर: सीआर
जैज: जैज
तकाता: तकाता 
एयरबैगों: एयरबैग 
वाहना: वाहना 
फुलाने: फुलाना 
इंफ्लेटर्स: इंफ्लेटर्स
बदलेगी: बदलेगी 
यूएफओ: यूएफओ
खोजकार्यों: खोजकार्य 
हंटर: हंटर
स्ट्रीटकैप: स्ट्रीटकैप
अकॉउंट: अकॉउंट
आईडेंटिटीफाइड: आईडेंटिटीफाइड
ऑबजेक्ट: ऑबजेक्ट
Courtesy: Courtesy
IBN: IBN
Live[/caption]: Live[/caption]
तिआंगोंग: तिआंगोंग
चीनियों: चीनी 
गिराया: गिराया 
चमकते: चमकता 
नजारा: नजारा 
वैमानिकी: वैमानिकी 
अन्तरिक्ष: अन्तरिक्ष
दुर्लभ: दुर्लभ
ऑब्जर्वेटरी: ऑब्जर्वेटरी 
डीएससीओवीआर: डीएससीओवीआर
मैरीलैंड: मैरीलैंड
फ्लाइंट: फ्लाइंट
श्जैबो: श्जैब 
अंतरिक्षयान: अंतरिक्षयान
सीसीडी: सीसीडी 
पॉलीक्रोमैटिक: पॉलीक्रोमैटिक
इमैजिंग: इमैजिंग
ईपीआईसी: ईपीआईसी 
'मैसेंजर': 'मैसेंजर'
'सीक्रेट: 'सीक्रेट
कन्वरसेशन': कन्वरसेशन'
'एन्ड: 'एन्ड
एन्ड: एन्ड
एन्क्रिप्शन': एन्क्रिप्शन'
व्हिस्पर: व्हिस्पर
सिस्टम्स: सिस्टम्स
अगुवा: अगुवा 
'गैलेक्स: 'गैलेक्स
आएंगे': आएंगे'
लिनोवो: लिनोव 
व्यूइंग: व्यूइंग
स्टीरियो: स्टीरिय 
PDAF: PDAF
MAH: MAH
मीडिा: मीडिा 
लकड़ी: लकड़ी 
Pradesh: Pradesh
मल्टीब्राण्ड: मल्टीब्राण्ड
हैण्डसैट: हैण्डसैट
हैड: हैड
मोहित: मोहित
नारू: नार 
इन्टरनेट: इन्टरनेट
एमएचजेड: एमएचजेड
बैण्ड: बैण्ड
उत्तरप्रदेश: उत्तरप्रदेश
आरओबी: आरओबी 
प्रेसीडेंट: प्रेसीडेंट
'नए: 'नए
खंडों: खंड 
टीएसटी: टीएसटी 
परफोर्मेस: परफोर्मेस
नेटिव: नेटिव
‘मस्टैंग’: ‘मस्टैंग’
मस्टैंग: मस्टैंग
कारखाने: कारखाना 
इकोस्पोर्ट: इकोस्पोर्ट
एंडेवर: एंडेवर
लैफ्ट: लैफ्ट
हु़ड: हु़ड
गोली: गोली 
निगल: निगल
पाचन: पाचन
एंडोस्कोपीस: एंडोस्कोपीस
सिलिकन: सिलिकन
उद्यम: उद्यम
पोजीशनिंग: पोजीशनिंग
यंत्र: यंत्र
एंडोस्कोपी: एंडोस्कोपी 
पेट: पेट
गहन: गहन
एक्टोन: एक्टोन
उद्योगपतियों: उद्योगपती 
टेलेमेटिक्स: टेलेमेटिक्स
ऑटोमोटिव्स: ऑटोमोटिव्स
बाइट: बाइट
प्रांसु: प्रांस 
'कनेक्टेड: 'कनेक्टेड
कार': कार'
निधीकरण: निधीकरण
फंडिंग: फंडिंग
उतारना: उतारना 
जुटाए: जुट 
बेड़े: बेड़ा 
मेंटनेंस: मेंटनेंस
एक्टन: एक्टन
"प्रांसु: "प्रांस 
आईएचएस: आईएचएस
कारे: कारा 
लैंबोर्गिनी: लैंबोर्गिनी 
शरद: शरद 
‘‘भारत: ‘‘भारत
खरीदार: खरीदार
हैं’’: हैं’’ 
‘‘हमारे: ‘‘हमारा 
है’: है’ 
trakntell: trakntell
थ: थ
निन्टेंडो: निन्टेंड 
वाट्सअप: वाट्सअप
वर्चुलअ: वर्चुलअ
सीजर: सीजर
‘अमेरिका: ‘अमेरिका 
‘हमने: ‘हमना 
फंडामेंटल्स: फंडामेंटल्स
लुबर्स: लुबर्स
स्टार्टअपों: स्टार्टअप 
लवली: लवली 
युनिवर्सिटी: युनिवर्सिटी 
जीडी: जीडी 
गोयनका: गोयनका 
रायत: रायत
बहरा: बहरा 
एजुरेका: एजुरेका 
कोएनिग: कोएनिग
मनिपाल: मनिपाल
सिंपलीलर्न: सिंपलीलर्न
यूडासिटी: यूडासिटी 
अपग्राड: अपग्राड
सज्ञथ: सज्ञथ
प्रशिक्षक: प्रशिक्षक
रोजगारपरक: रोजगारपरक
प्रमाणपत्र: प्रमाणपत्र
'किंग: 'किंग
वॉयस': वॉयस'
"'किंग: "'किंग
सुनाएगा: सुनाएगा 
डलवाते: डलवाता 
पॉसिबल: पॉसिबल
चैटसिम: चैटसिम
chatsim: chatsim
स्टॉप: स्टॉप
फिलान्हो: फिलान्ह 
कास्टीले: कास्टीला 
अफ्रीकी: अफ्रीकी 
तीखी: तीखी 
कास्टिले: कास्टिला 
रेनाल्ड: रेनाल्ड
मंगेतर: मंगेतर
इजहार: इजहार
तकलीफदेह: तकलीफदेह
टेक्नीक्रंच: टेक्नीक्रंच
खंडन: खंडन
हिचकिचा: हिचकिचा 
हिंसक: हिंसक
कब्जे: कब्जा 
पत्रकारिका: पत्रकारिका 
जिम्मेदारियों: जिम्मेदारी 
स्टैंडर्स: स्टैंडर्स
वर्णन: वर्णन
किसोशल: किसोशल
किसकी: किसकी 
पोर्नोग्राफी: पोर्नोग्राफी 
आक्रामक: आक्रामक
स्टैंडडर्स: स्टैंडडर्स
जमानत: जमानत
आटो: आट 
समावेशन: समावेशन
एजेंडा: एजेंडा 
एवरएलबम: एवरएलबम
शूबॉक्स: शूबॉक्स
ड्रॉपबॉक्स: ड्रॉपबॉक्स
डाइव: डाइव
बर्बाद: बर्बाद
गोयल: गोयल
शुरआती: शुरआती 
फीडम: फीडम
बीजेपी: बीजेपी 
किरीट: किरीट
सोमैया: सोमैया 
गैलैक्सी: गैलैक्सी 
कैंरा: कैंरा 
Amoled: Amoled
सताता: सताता 
अंग्रेज: अंग्रेज
जू: ज 
रेंगती: रेंगती 
अंग्रेजों: अंग्रेज 
लापरवाह: लापरवाह
रवैये: रवैया 
परवाह: परवाह
जेगुआर: जेगुआर
जोरदार: जोरदार
जेएलआर: जेएलआर
एक्सई: एक्सई
एक्सएफ: एक्सएफ
'एस्ट्रोसेजडॉटकॉम': 'एस्ट्रोसेजडॉटकॉम'
'एस्ट्रोसेज: 'एस्ट्रोसेज
कुंडली: कुंडली 
'ओजस: 'ओजस
सॉफ्टेक: सॉफ्टेक
लिमिटेड': लिमिटेड'
ओजस: ओजस
पुनीत: पुनीत
पाण्डे: पाण्डा 
"प्रधानमंत्री: "प्रधानमंत्री 
थाती: थाती 
जेहन: जेहन
उपजा: उपजा 
अमलीजामा: अमलीजामा 
पहनाया: पहनाया 
जस: जस
तस: तस
दिखलाता: दिखलाता 
गीअर: गीअर
कार्डबोर्ड: कार्डबोर्ड
दाएं: द 
घुमाकर: घुमा घुम 
डेक्सटॉप: डेक्सटॉप
ड्रेग: ड्रेग
होस्टिंग: होस्टिंग
डैडी: डैडी 
एसएमबी: एसएमबी 
ऑस्ट्रलिया: ऑस्ट्रलिया 
सोढ़ी: सोढ़ी 
''भारत: ''भारत
प्रोटोटाइप: प्रोटोटाइप
साईओ: साईओ
बैच: बैच
बैठेगी: बैठेगी 
कलपुर्जे: कलपुर्जा 
साफ्टबैंक: साफ्टबैंक
राफेल: राफेल
लड़ाकू: लड़ाक 
तेजस: तेजस
कावेरी: कावेरी 
पटरी: पटरी 
ऑफसेट: ऑफसेट
सैन्य: सैन्य 
वास्ते: वास्ता 
पुर्जा: पुर्जा 
सफरन: सफरन
थलेस: थलेस
एमबीडीए: एमबीडीए
दसॉल्ट: दसॉल्ट
प्रतिबद्धताओं: प्रतिबद्धत प्रतिबद्ध 
बिंदुओं: बिंद 
निर्णायक: निर्णायक
अनुंबध: अनुंबध
विषयगत: विषयगत
राजी: राजी 
ताकतवर: ताकतवर
केएन: केएन
डीआरडीओ: डीआरडीओ
‘मेक: ‘मेक
फ्लेम: फ्लेम
कैंमरे: कैंमरा 
फीतर: फीतर
रिकग्नाइजेशन: रिकग्नाइजेशन
क्रिस्लर: क्रिस्लर
आटोमोबाइल: आटोमोबाइल
लिनिया: लिनिया 
पुन्टो: पुन्ट 
ईवीओ: ईवीओ
एवेंचुरा: एवेंचुरा 
लीनिया: लीनिया 
